attribute_id,project,risk,rationale
htan2:AbNameReportedonDataset,HTAN2,Low,"The attribute records the name of an antibody reagent, which is technical metadata about experimental materials rather than any personal or identifying information. It does not reveal individual identities, locations, or sensitive clinical/financial data, so it is classified as Low risk."
htan:AbNameReportedonDataset,HTAN,Low,"Antibody name is technical reagent metadata (instrument/reagent detail) and does not contain personal identifiers or sensitive clinical data. No validation rules or values suggest it could re-identify individuals, so classification is Low."
el:AccessReqs,EL,NeedsReview,"Description is 'TBD' with no validation rules or valid values provided, so the content and scope of this attribute are unclear; insufficient information to assess sensitivity."
el:AckContext,EL,NeedsReview,"Description is listed as TBD with no validation rules or valid values. Scope and content are unknown, so sensitivity cannot be determined and requires further review."
el:Acknowledgment,EL,NeedsReview,"Description is listed as TBD and there are no validation rules or valid values provided, so scope and content are unclear; insufficient information to determine sensitivity."
el:AcquisitionBatchID,EL,Moderate,Batch identifier is a quasi-identifier provided by the contributor that can link samples or records across datasets and potentially aid re‑identification when combined with other data. It is not a direct personal identifier but is sensitive contextual metadata and should be treated as moderate risk.
el:AcquisitionBatchSize,EL,Low,A simple numeric count of samples in an acquisition batch; non-personal technical/study logistics metadata with no direct identifiers or quasi-identifiers and minimal re-identification risk.
el:AcquisitionBatchSizeUnit,EL,Low,"This is a technical metadata field specifying the unit of measurement for batch size (e.g., number of samples). It does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial information, so it is non-personal technical metadata."
el:AcquisitionMode,EL,Low,"Describes instrument acquisition method (e.g., full scan, MSn, SIM, MRM) — technical metadata about mass spectrometry settings. Contains no personal identifiers, quasi-identifiers, or sensitive clinical/financial information, so classification is Low."
el:AcquistionSoftwareVersion,EL,NeedsReview,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and potential identifiability of the software version are unclear; requires review to determine sensitivity."
btc:AdapterContent,BTC,Low,"FASTQC adapter-content state is technical QC metadata about sequencing reads (non-identifying instrument/software output). It does not contain personal identifiers, demographics, or cohort information, so it is low sensitivity."
htan2:AdapterContent,HTAN2,Low,"AdapterContent is a FASTQC quality-control metric describing adapter sequence content in sequencing reads. It is technical, non-personal assay metadata (no identifiers or sensitive clinical/demographic information), so it is Low risk."
htan:AdapterContent,HTAN,Low,"FASTQC 'AdapterContent' is a technical QC metric describing adapter sequence content in sequencing reads. It conveys no personal identifiers or quasi-identifying information and pertains to technical file-level quality, so it is non-personal technical metadata."
btc:AdapterName,BTC,Low,Sequencing adapter name is non-personal technical metadata about library preparation/reagent; it does not identify individuals or provide quasi-identifiers and thus poses minimal re-identification or privacy risk.
gf:AdapterName,GF,Low,Sequencing adapter name is technical experimental metadata (instrument/library prep detail) that does not identify individuals or sensitive attributes; classed as non-personal technical metadata.
htan2:AdapterName,HTAN2,Low,"Name of the sequencing adapter is technical laboratory metadata (library/prep detail) and does not reveal personal identity, location, contact, or sensitive clinical information."
htan:AdapterName,HTAN,Low,"AdapterName is a technical library-preparation detail (sequencing adapter identifier). It is non-personal technical metadata and does not reveal individual identity, contact, location, or sensitive clinical information."
btc:AdapterSequence,BTC,Low,AdapterSequence is a technical attribute describing the nucleotide sequence of a sequencing adapter (non-personal instrument/protocol metadata). It does not contain personal identifiers or quasi-identifiers and therefore poses low re-identification risk.
htan2:AdapterSequence,HTAN2,Low,"AdapterSequence is a technical sequencing reagent sequence (adapter base sequence). It is non-personal technical metadata about library preparation and does not reveal individual identity, demographics, locations, financial or clinical information."
htan:AdapterSequence,HTAN,Low,"This is technical metadata describing the sequencing adapter base sequence used in library preparation. It does not reveal personal identity, contact, precise location, financial, or sensitive clinical information and is non-identifying for participants."
el:AdjustedCovariates,EL,Moderate,"Lists covariates used in GWAS adjustment (e.g., age; sex). These are quasi-identifiers/demographic variables that can aid re-identification or provide sensitive contextual information—not direct identifiers but higher than low-risk technical metadata."
nf-osi:Age,NF-OSI,Moderate,Numeric age of an individual is a demographic quasi-identifier that can facilitate re-identification when combined with other data (use with ageUnit noted). It is not a direct identifier but is sensitive enough to warrant Moderate classification.
htan2:AlignedReadLength,HTAN2,Low,"This is technical sequencing metadata (read length used for alignment after hard trimming). It describes a processing parameter, not a person-level identifier or sensitive clinical/ demographic information, and thus poses low re-identification risk."
htan:AlignedReadLength,HTAN,Low,This is technical sequencing metadata (read length used for alignment/hard trimming). It does not directly identify individuals or provide quasi-identifiers; fits non-personal technical metadata.
