attribute_id,project,rationale
el:AccessReqs,EL,"Description is 'TBD' with no validation rules or valid values provided, so the content and scope of this attribute are unclear; insufficient information to assess sensitivity."
el:AckContext,EL,"Description is listed as TBD with no validation rules or valid values. Scope and content are unknown, so sensitivity cannot be determined and requires further review."
el:Acknowledgment,EL,"Description is listed as TBD and there are no validation rules or valid values provided, so scope and content are unclear; insufficient information to determine sensitivity."
el:AcquistionSoftwareVersion,EL,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and potential identifiability of the software version are unclear; requires review to determine sensitivity."
gf:AntibodyName,GF,"Description is listed as 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear; cannot determine whether this is reagent/instrument metadata (Low) or contains potentially sensitive identifiers (Moderate/High). Further detail required."
gf:AppliedHardTrimming,GF,"Description is 'TBD' and there are no validation rules or valid values provided; insufficient information to assess whether this is identifying, quasi-identifying, or non-personal metadata."
gf:BatchID,GF,"Description is listed as TBD and there are no validation rules or valid values. Scope and format are unclear (could be a simple lab batch code, a cohort identifier, or a coded individual-level identifier), so sensitivity cannot be determined without additional information."
el:BatchSizeUnit,EL,"Description is listed as 'TBD' with no validation rules or valid values provided, so scope and sensitivity are unclear; insufficient information to classify."
gf:CatalogNumber,GF,"Description is 'TBD' and there are no validation rules or valid values provided, so scope and sensitivity are unclear — needs further detail to assess whether this is a direct identifier, quasi-identifier, or non-identifying technical code."
htan2:CatalogNumber,HTAN2,Label and description only state 'Catalog Number' with no context or validation rules; could refer to non-personal product/reagent identifiers (Low) or to sample/specimen IDs linked to donors (Moderate/High). Insufficient information to classify definitively; review needed.
btc:CellBarcode,BTC,"Description is 'TBD' with no validation rules or valid values. 'CellBarcode' could be a persistent cell identifier (potentially a quasi-identifier), but scope and format are unclear—insufficient information to classify."
gf:CellBarcodeTag,GF,"Attribute description is 'TBD' with no validation rules or valid values. Name suggests a cell barcode which could be a persistent identifier or linkable quasi-identifier, but scope and formatting are unclear—insufficient information to classify."
gf:ChannelID,GF,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and sensitivity of 'ChannelID' are unclear; insufficient information to classify as High, Moderate, or Low."
gf:ChannelName,GF,"Description is 'TBD' and there are no validation rules or valid values provided, so the scope and whether this attribute contains identifiers or sensitive information is unclear; requires further review."
