template_id,display_name,species,file_type,configured_template_role,description
Patient,Patient,Not specified,N/A,N/A,HTAN patient
Demographics,Demographics,Not specified,N/A,Record,Demographic attributes
FamilyHistory,Family History,Not specified,N/A,Record,Family cancer history
Exposure,Exposure,Not specified,N/A,Record,Exposure to carcinogens
FollowUp,Follow Up,Not specified,N/A,Record,Follow up clinical visits
Diagnosis,Diagnosis,Not specified,N/A,Record,Disease diagnosis
Therapy,Therapy,Not specified,N/A,Record,Clinical therapy or treatment
MolecularTest,Molecular Test,Not specified,N/A,Record,Clinical molecular test data
CDSSequencingTemplate,CDS Sequencing Template,Not specified,Various,Annotation,"CDS compatible template file, includes attributes for Genomic Reference, Library Layout, Data Type, Sequencing Platform, Library Selection Method"
CDNA,cDNA,Not specified,N/A,N/A,"Complementary DNA. A DNA copy of an mRNA or complex sample of mRNAs, made using reverse transcriptase"
Biospecimen,Biospecimen,Not specified,N/A,Record,"HTAN biological entity; this can be tissue, blood, analyte and subsamples of those"
ClinicalDataTier2,Clinical Data Tier 2,Not specified,N/A,Record,Tier 2 Cancer Data
SRRSClinicalDataTier2,SRRS Clinical Data Tier 2,Not specified,N/A,Record,Cancer related clinical data specific to SRRS
LungCancerTier3,Lung Cancer Tier 3,Not specified,N/A,Record,Lung cancer specific attributes in Clinical Data Tier 3
ColorectalCancerTier3,Colorectal Cancer Tier 3,Not specified,N/A,Record,Colorectal cancer specific attributes in Clinical Data Tier 3
BreastCancerTier3,Breast Cancer Tier 3,Not specified,N/A,Record,Breast cancer specific attributes in Clinical Data Tier 3
NeuroblastomaandGliomaTier3,Neuroblastoma and Glioma Tier 3,Not specified,N/A,Record,Brain cancer specific attributes in Clinical Data Tier 3
AcuteLymphoblasticLeukemiaTier3,Acute Lymphoblastic Leukemia Tier 3,Not specified,N/A,Record,Acute Lymphoblastic Leukemia attributes in Clinical Data Tier 3
OvarianCancerTier3,Ovarian Cancer Tier 3,Not specified,N/A,Record,Ovarian cancer specific attributes in Clinical Data Tier 3
ProstateCancerTier3,Prostate Cancer Tier 3,Not specified,N/A,Record,Prostate cancer specific attributes in Clinical Data Tier 3
SarcomaTier3,Sarcoma Tier 3,Not specified,N/A,Record,Sarcoma specific attributes in Clinical Data Tier 3
PancreaticCancerTier3,Pancreatic Cancer Tier 3,Not specified,N/A,Record,Pancreatic cancer specific attributes in Clinical Tier Data 3
