template_id,display_name,species,file_type,configured_template_role,description
PublicationTemplate,PublicationTemplate,Not specified,N/A,N/A,A generalized data model template for Publications to be hopefully used across dccs
MassSpecAssayTemplate,MassSpecAssayTemplate,Multi-species,Various,N/A,Template for raw mass spec-based proteomics data.
ProteinAssayTemplate,ProteinAssayTemplate,Multi-species,Various,N/A,Abstract template for data from some assay of protein structure and function. Data should be instantiated with more specific template.
ClinicalAssayTemplate,ClinicalAssayTemplate,Multi-species,Various,Annotation,"General template for typically tabular **individual-level** data. This can include repeated measures and a drug treatment context.
"
BiologicalAssayDataTemplate,BiologicalAssayDataTemplate,Multi-species,Various,N/A,"A template defining basic metadata on deposited data artifacts (i.e. files) from experimental assays involving biosamples.  This is an abstract template; ""real"" template subclasses define additional properties appropriate for the type of data file (e.g. imaging vs sequencing).
"
ScRNASeqTemplate,ScRNASeqTemplate,Multi-species,Various,Annotation,Template for describing raw data from single-cell RNA-seq.
ScSequencingAssayTemplate,ScSequencingAssayTemplate,Multi-species,Various,N/A,"General template for raw RNA/DNA data, i.e. sequence data from a sequencing assay."
GeneralMeasureDataTemplate,GeneralMeasureDataTemplate,Multi-species,Various,N/A,"General template for data in tabular form that aggregates tissue-level or cellular-level data.
"
MaterialScienceAssayTemplate,MaterialScienceAssayTemplate,Not specified,Various,N/A,General template for describing data for a materials science assay.
NonBiologicalAssayDataTemplate,NonBiologicalAssayDataTemplate,Not specified,Various,N/A,"Describes data artifacts (i.e. files) from an experimental/physical-sciences assay  where input specimens are more at the level of synthesized molecules or inorganic materials.
"
RNASeqTemplate,RNASeqTemplate,Multi-species,Various,Annotation,Template for describing raw data from (bulk) RNA-sequencing
BulkSequencingAssayTemplate,BulkSequencingAssayTemplate,Multi-species,Various,N/A,"General template for raw (level 1) RNA/DNA data, i.e. sequence data from a sequencing assay."
BiospecimenTemplate,BiospecimenTemplate,Not specified,N/A,N/A,"Specimen-level data, whether from human or animal."
PortalStudy,PortalStudy,Not specified,N/A,N/A,"//nf.synapse.org/Explore/Studies.
"
ImagingAssayTemplate,ImagingAssayTemplate,Multi-species,Image files (DICOM/TIFF/etc.),Annotation,General template for describing imaging data.
PortalPublication,PortalPublication,Not specified,N/A,N/A,A slightly more specialized publication concept intended for the specific scope of the NF Portal.
GenomicsAssayTemplateExtended,GenomicsAssayTemplateExtended,Multi-species,Various,Annotation,Genomics assay template but with additional experiment data.
GenomicsAssayTemplate,GenomicsAssayTemplate,Multi-species,Various,Annotation,"Alias to BulkSequencingAssayTemplate, use for sequence data on a large scale when there is no template available that is more specific."
ProteinArrayTemplate,ProteinArrayTemplate,Multi-species,Various,N/A,Template for array- and immuno-based proteomics data.
PdxGenomicsAssayTemplate,PdxGenomicsAssayTemplate,Human,N/A,N/A,"Raw genomics data from patient-derived xenograft (PDX) experiment, with additional PDX-relevant metadata."
EpigenomicsAssayTemplate,EpigenomicsAssayTemplate,Multi-species,Various,N/A,Template for describing raw data from epigenetics sequencing assays such as bisulfite sequencing.
LightScatteringAssayTemplate,LightScatteringAssayTemplate,Not specified,Various,Annotation,Template for dynamic or static light scattering data adapted from ISA-TAB-Nano specs.
