Project,Attribute,Attribute ID,Range,Validation Rules
ADKP,ADNC,bts:ADNC,enum: High | Intermediate | Low | Missingorunknown | NotAD,validation=string
ADKP,ageAssessment,bts:AgeAssessment,text: number,
ADKP,ageAssessmentUnits,bts:AgeAssessmentUnits,enum: Days | Gestationalweeks | Months | PCW | Weeks | Years,
ADKP,alignedReadLength,bts:AlignedReadLength,text,
ADKP,alt_HS_S,bts:AltHSS,enum: Absence | Missingorunknown | Presence,validation=string
ADKP,alt_LEWY_full,bts:AltLEWYFull,enum: Amygdalaonly | Brainstempredominant | Limbictransitional | Missingorunknown | Neocorticaldiffuse | NoaltLEWYFull | Olfactorybulbonly,validation=string
ADKP,AMY_A,bts:AMYA,enum: Missingorunknown | NoAScore | ThalPhase1or2 | ThalPhase3 | ThalPhase4or5,validation=string
ADKP,AMY_ANY,bts:AMYANY,enum: AmyloidPresent | Missingorunknown | Noamyloidpresence | SomeAmyloid,validation=string
ADKP,AMY_THAL,bts:AMYTHAL,enum: Missingorunknown | NoThalPhase | Phase1 | Phase2 | Phase3 | Phase4 | Phase5,validation=string
ADKP,analysisType,bts:AnalysisType,enum: ANOVA | Assessment | Batcheffectcorrection | Chromatinaccessiblequantitativetraitlocidetection | Clustering | Comparison | Copynumberestimation | Correlation | Covariatespecification | DNAmethylationimputation | Datamining | Datanormalization | De-novoassembly | Differentialexpression | Differentialmethylation | Differentialnetworkanalysis | Doseresponsestudy | EWAS | Enrichmentanalysis | Expressionquantitativetraitlocidetection | Geneexpressioncomparison | Genome-WideAssociation | Genome-widepleiotropy | GenotypeAncestry | Genotypeimputation | Hiddenconfounderdetection | Manifoldlearning | Mendelianrandomizationanalysis | Methylationquantitativetraitlocidetection | Networkanalysis | Networkdriverdetection | Outlierdetection | Peakcalling | PolygenicRiskScores | Principalcomponentanalysis | Proteinquantitativetraitlocidetection | Purity | Qualitycontrol | Searchengineoutputfiles | Sequencealignment | Somaticmutationcalling | Statisticalnetworkreconstruction | Structuralvariationdetection | SupervisedMachineLearning | Transcriptquantification | VariancePartition | Variantcalling | Visualization,
ADKP,antibody,bts:Antibody,text: string,
ADKP,antibodyAmount,bts:AntibodyAmount,text: number,
ADKP,antibodyAmountUnits,bts:AntibodyAmountUnits,text: string,
