Project,Attribute,Attribute ID,Range,Validation Rules
BTC,Adapter Content,bts:AdapterContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Adapter Name,bts:AdapterName,text,
BTC,Adapter Sequence,bts:AdapterSequence,text,
BTC,Base Caller Name,bts:BaseCallerName,text,
BTC,Base Caller Version,bts:BaseCallerVersion,text,
BTC,Basic Statistics,bts:BasicStatistics,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Cell Barcode,bts:CellBarcode,text,
BTC,Component,bts:Component,text,
BTC,DV200,bts:DV200,text,
BTC,Encoding,bts:Encoding,text,
BTC,File Format,bts:fileFormat,enum: 7z | Ab1 | Abf | Am | Avi | Bai | Bam | Bcf | Bed | BedbroadPeak | BedgappedPeak | Bedgraph | BednarrowPeak | Bgzip | Bigwig | Bpm | Cel | Cellam | Chp | Cloupe | Csv | Czi | DICOM | Dat | Doc | Dup | Excel | Fasta | Fastq | Fig | Flagstat | Gct | Gff3 | Gtf | Gzip | Hdf5 | Hic | Html | Hyperlink | Idat | Idx | Jpg | Json | Locs | M | Maf | Md | Mex | Mov | Mpg | ... (+37 more),
BTC,Filename,bts:filename,text,
BTC,Flow,bts:Flow,text,
BTC,Fragment Maximum Length,bts:FragmentMaximumLength,text,
BTC,Fragment Mean Length,bts:FragmentMeanLength,text,
BTC,Fragment Minimum Length,bts:FragmentMinimumLength,text,
BTC,Fragment Standard Deviation Length,bts:FragmentStandardDeviationLength,text,
BTC,HTAN Data File ID,bts:HTANDataFileID,text,
BTC,HTAN Parent Biospecimen ID,bts:HTANParentBiospecimenID,text,
BTC,Kmer Content,bts:KmerContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Lane Number,bts:LaneNumber,text,
BTC,Library Layout,bts:LibraryLayout,enum: LongRead | Mid-length | PairedEnd | SingleRead,
BTC,Library Preparation Days from Index,bts:LibraryPreparationDaysfromIndex,text,validation=int
BTC,Library Preparation Kit Name,bts:LibraryPreparationKitName,text,
BTC,Library Preparation Kit Vendor,bts:LibraryPreparationKitVendor,text,
BTC,Library Preparation Kit Version,bts:LibraryPreparationKitVersion,text,
BTC,Library Selection Method,bts:LibrarySelectionMethod,text,
BTC,Library Strand,bts:LibraryStrand,enum: FirstStranded | NotApplicable | SecondStranded | Unstranded,
BTC,Multiplex Barcode,bts:MultiplexBarcode,text,
BTC,Nucleic Acid Source,bts:NucleicAcidSource,enum: BulkNuclei | BulkWholeCell | SingleCell | SingleNucleus,
BTC,Overrepresented Sequences,bts:OverrepresentedSequences,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Base N Content,bts:PerBaseNContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Base Sequence Content,bts:PerBaseSequenceContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Base Sequence Quality,bts:PerBaseSequenceQuality,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Sequence GC Content,bts:PerSequenceGCContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Sequence Quality Score,bts:PerSequenceQualityScore,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Per Tile Sequence Quality,bts:PerTileSequenceQuality,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Percent GC Content,bts:PercentGCContent,text,
BTC,QC Workflow Link,bts:QCWorkflowLink,text,
BTC,QC Workflow Type,bts:QCWorkflowType,text,
BTC,QC Workflow Version,bts:QCWorkflowVersion,text,
BTC,Read Indicator,bts:ReadIndicator,enum: R1 | R1&R2 | R2,
BTC,Read Length,bts:ReadLength,text,
BTC,RIN,bts:RIN,text,
BTC,Sequence Duplication Levels,bts:SequenceDuplicationLevels,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Sequence Length Distribution,bts:SequenceLengthDistribution,enum: FAIL | NotReported | PASS | Unknown | WARN,
BTC,Sequencing Batch ID,bts:SequencingBatchID,text,
BTC,Sequencing Platform,bts:SequencingPlatform,enum: 454GSFLXTitanium | ABSOLiD3 | ABSOLiD4ABSOLiD2 | CompleteGenomics | GridION | IlluminaGenomeAnalyzerII | IlluminaGenomeAnalyzerIIx | IlluminaHiSeq2000 | IlluminaHiSeq2500 | IlluminaHiSeq4000 | IlluminaHiSeqXFive | IlluminaHiSeqXTen | IlluminaMiSeq | IlluminaNextSeq | IlluminaNextSeq2500 | IlluminaNextSeq500 | IlluminaNextSeq550 | IlluminaNovaSeq6000 | IonTorrentPGM | IonTorrentProton | IonTorrentS5 | NotReported | NovaSeq6000 | NovaSeqS4 | Other | OxfordNanoporeminION | PacBioRS | PacBioSequel2 | PromethION | Revio | UltimaGenomicsUG100 | Unknown,
BTC,Size Selection Range,bts:SizeSelectionRange,text,
BTC,Spike In,bts:SpikeIn,text,
BTC,Target Depth,bts:TargetDepth,text,
BTC,Test Attribute,bts:TestAttribute,enum: 1 | 2 | 3,
BTC,To Trim Adapter Sequence,bts:ToTrimAdapterSequence,enum: No | Yes-TrimAdapterSequence,
BTC,Total Reads,bts:TotalReads,text,
BTC,Transcript Integrity Number,bts:TranscriptIntegrityNumber,text,
