Project,Attribute,Attribute ID,Range,Validation Rules
EL,accessReqs,bts:AccessReqs,text,
EL,ackContext,bts:AckContext,text,
EL,acknowledgment,bts:Acknowledgment,text,
EL,acquisitionBatchID,bts:AcquisitionBatchID,text,
EL,acquisitionBatchSize,bts:AcquisitionBatchSize,text,
EL,acquisitionBatchSizeUnit,bts:AcquisitionBatchSizeUnit,text,
EL,acquisitionMode,bts:AcquisitionMode,text,
EL,acquisitionSoftware,bts:AcquisitionSoftware,text,
EL,acquistionSoftwareVersion,bts:AcquistionSoftwareVersion,text,
EL,adapters,bts:Adapters,text,
EL,adjustedCovariates,bts:AdjustedCovariates,text,
EL,age,bts:Age,text,
EL,algorithm,bts:Algorithm,text,
EL,analysisType,bts:AnalysisType,enum: ANOVA | Batcheffectcorrection | Clustering | Datanormalization | De-novoassembly | Doseresponsestudy | Enrichmentanalysis | Genome-wideassociation | Mendelianrandomizationanalysis | Networkanalysis | Notassigned | Polygenicriskscores,
EL,arrayInformation,bts:ArrayInformation,text,
EL,arrayManufacturer,bts:ArrayManufacturer,text,
EL,assay,bts:Assay,enum: 10xmultiome | 16SrRNAseq | ATACSeq | Activeavoidancelearningbehavior | Anxiety-relatedbehavior | AtomicForceMicroscopy | Autoradiography | BakerLipidomics | BiocratesBileAcids | BiocratesQ500 | Biocratesp180 | BisulfiteSeq | BloodChemistryMeasurement | BrightfieldMicroscopy | CITESeq | CUT&Tag | CellViabilityAssay | ChIPSeq | Contextualconditioningbehavior | DIA | DNAopticalmapping | ELISA | Electrochemiluminescence | ElevatedTmazeapparatusmethod | Elevatedplusmazetest | ErrBisulfiteSeq | ExomeSeq | FIA-MSMS | FitBark | Frailtyassessment | Genotyping | HI-C | HPLC | HPLC-MSMS | HiChIPseq | Highcontentscreen | ISOSeq | Immunocytochemistry | Immunofluorescence | Immunohistochemistry | Invivobioluminescence | JumpingLibrary | Kinestheticbehavior | LC-MS | LC-MSMS | LC-SRM | LFP | LTP | Labelfreemassspectrometry | LaserSpeckleImaging | ... (+72 more),
EL,assemblyName,bts:AssemblyName,text,
EL,assemblyQual,bts:AssemblyQual,text,
EL,assemblySoftware,bts:AssemblySoftware,text,
EL,associatedResource,bts:AssociatedResource,text,
EL,backgroundTrait,bts:BackgroundTrait,text,
EL,batchID,bts:BatchID,text,
EL,batchLabel,bts:BatchLabel,text,
EL,batchSize,bts:BatchSize,text,
EL,batchSizeUnit,bts:BatchSizeUnit,text,
EL,cohort,bts:Cohort,enum: ABC-DS | ACT | ADNI | BEB-Miller | BLSA | Banner | BiggsInstituteBrainBank | CHDWB | CHS | CLINCOR | ColumbiaADRC | DiCAD | EFIGA | EHBS | EmoryADRC | FBS | Framingham | HABC | HBCC | HBTRC | HPGP | HUP | LBP | MARS | MAYO | MC | MCJ | MCR | MSBB | MayoClinic | MrOS | NYBB | PittADRC | RADC | ROSMAP | SMRI | SOF | UFL | UKBiobank | UPBB | UPenn | UWADRC | WHICAP,
EL,Component,bts:Component,text,
EL,consortium,bts:Consortium,enum: ELITE | ELITECDCP | Notassigned,
EL,controlType,bts:ControlType,enum: AIBLpool | Bakerpool | Blankinjection | GIS | GoldenWest | NISTSRM1950 | Qcmix | Replicate | Studypool | WaterplusBakerISTD,
EL,conversionRatio,bts:ConversionRatio,text,
EL,conversionRatioUnits,bts:ConversionRatioUnits,text,
EL,databaseLibrary,bts:DatabaseLibrary,text,
EL,databaseName,bts:DatabaseName,text,
EL,databaseSource,bts:DatabaseSource,text,
EL,databaseVersion,bts:DatabaseVersion,text,
EL,databaseWeblink,bts:DatabaseWeblink,text,
EL,dataFile,bts:DataFile,text,
EL,dataFormat,bts:DataFormat,text,
EL,dataSubtype,bts:DataSubtype,enum: Metadata | Normalized | Notassigned | Processed | Raw | Results,
EL,dataTypeAll,bts:DataTypeAll,text,
EL,diagnosis,bts:Diagnosis,enum: AD-DS | AffectiveDisorder | AlzheimerDisease | Alzheimerdiseasewithpsychosis | Amyotrophiclateralsclerosis | Anxiety | AutismSpectrumDisorder | BipolarDisorder | BladderCancer | BrainCancer | BreastCancer | CS-DS | CervicalCancer | ColonCancer | Control | Corticobasaldegenerationdisorder | Dementia | Dystonia | Essentialtremor | FibrocysticBreastDisease | Frontotemporaldementia | Gliosis | Hypoxia | JuvenileMyelomonocyticLeukemia | Leukemia | Lewybodydisease | Longevity | LungCancer | MCI-DS | MajorDepressiveDisorder | Mildcognitiveimpairment | Multiplesystematrophy | Neurofibromatosis1 | Neurofibromatosis2 | Nocognitiveimpairment | NotApplicable | Obesity | Obsessivecompulsivedisorder | OvaryCancer | PancreaticCancer | Parkinson'sdisease | Pathologicalaging | Progressivesupranuclearpalsy | ProstateCancer | Schizophrenia | SkinCancer | SubstanceRelatedDisorder | TouretteSyndrome | Traumaticbraininjury | Type2diabetesmellitus | ... (+2 more),
EL,diagnosisStatus,bts:DiagnosisStatus,enum: FALSE | TRUE,
EL,digestionMethod,bts:DigestionMethod,text,
EL,digestionReagent,bts:DigestionReagent,enum: 2-iodobenzoate | Arg-C | Asp-N | Asp-NAmbic | CNBr | Chymotrypsin | FormicAcid | Glutamylendopeptidase | Leukocyteelastase | Lys-C | Lys-C/P | NoEnzyme | Nocleavage | Notavailable | Notcollected | Notspecified | PepsinA | Prolineendopeptidase | TrypChymo | Trypsin | Trypsin/P | Unknown | Unspecificcleavage | V8-DE | V8-E,
EL,directionalBSseqLibrary,bts:DirectionalBSseqLibrary,enum: FALSE | Notapplicable | Notcollected | Notspecified | TRUE | Unknown,
EL,dnaBatchID,bts:DnaBatchID,text,
EL,dnaBatchSize,bts:DnaBatchSize,text,
EL,dnaBatchSizeUnit,bts:DnaBatchSizeUnit,enum: AFU | AI | AU/ml | Bpg/dl | DKunits/ml | G/l | Gm | HAU | IU | IU/ml | Iu/l | KallikreinInactivatorUnitperMilliliter | Kg | L | M | MM | MOI | Mg | Mg/dl | Mg/l | Mg/ml | Miu/ml | Ml | NM | NPX | Ng | Ng/dl | Ng/ml | Ng/nl | Ng/ul | Nl | Notapplicable | Notcollected | Notspecified | Opticaldensity | Other | PFU | PFUe | PM | Pg | Pg/mgcreatinine | Pg/ml | Pg/nl | Pg/ul | Pl | Pound | TCID50 | UM | Ug | Ug/dl | ... (+8 more),
EL,DNAextraction,bts:DNAextraction,text,
EL,enrichment,bts:Enrichment,text,
EL,enrichmentMethod,bts:EnrichmentMethod,text,
EL,enrichmentStrategy,bts:EnrichmentStrategy,enum: AcetylomeProteome | Glycoproteome | Lipidome | Metabolome | Notapplicable | Notavailable | Notcollected | Notspecified | Phosphoproteome | Ubiquitylome | Unknown,
EL,entity,bts:Entity,text,
EL,entityID,bts:EntityID,text,
EL,environment,bts:Environment,text,
EL,ethnicGroupCode,bts:EthnicGroupCode,text,
EL,ethnicity,bts:Ethnicity,enum: HispanicorLatino | NotApplicable | NotHispanicorLatino | Prefernottoanswer,
EL,experimentalBatchSize,bts:ExperimentalBatchSize,text,
EL,experimentalBatchSizeUnit,bts:ExperimentalBatchSizeUnit,text,
EL,experimentalDesign,bts:ExperimentalDesign,text,
EL,experimentalFactor,bts:ExperimentalFactor,text,
