Project,Attribute,Attribute ID,Range,Validation Rules
GF,AdapterName,bts:AdapterName,text,
GF,AdapterSequence,bts:AdapterSequence,text,
GF,AdjacentSampleIDs,bts:AdjacentSampleIDs,text,
GF,AltSampleID,bts:AltSampleID,text,
GF,AntibodyName,bts:AntibodyName,text,
GF,AppliedHardTrimming,bts:AppliedHardTrimming,text,
GF,BatchID,bts:BatchID,text,
GF,BisulfiteConversionKit,bts:BisulfiteConversionKit,enum: AgilentSureSelectXTMethyl-Seq | NEBNextEnzymaticMethyl-seqKit | ZimoEZ-96DNAMethylationDeepKit | ZimoEZ-96DNAMethylationShallowKit | ZimoEZDNAMethylationKit,
GF,BulkMethylationAssayType,bts:BulkMethylationAssayType,enum: BeadchipArray | TargetedGenome | Wholegenome,
GF,CatalogNumber,bts:CatalogNumber,text,
GF,CellBarcodeLength,bts:CellBarcodeLength,text,
GF,CellBarcodeOffset,bts:CellBarcodeOffset,text,
GF,CellBarcodeTag,bts:CellBarcodeTag,text,
GF,CellMedianNumberGenes,bts:CellMedianNumberGenes,text,
GF,CellMedianNumberReads,bts:CellMedianNumberReads,text,
GF,CellTotal,bts:CellTotal,text,
GF,ChannelID,bts:ChannelID,text,
GF,ChannelMetadataFilename,bts:ChannelMetadataFilename,text,
GF,ChannelName,bts:ChannelName,text,
GF,ChannelPassedQC,bts:ChannelPassedQC,text,
GF,Clone,bts:Clone,text,
GF,Comment,bts:Comment,text,
GF,Component,bts:Component,text,
GF,Concentration,bts:Concentration,text,
GF,CryopreservedCellsinSample,bts:CryopreservedCellsinSample,enum: No | NotDocumented | Yes,
GF,CycleNumber,bts:CycleNumber,text,
GF,DataCategory,bts:DataCategory,text,
GF,DetailedSampleID,bts:DetailedSampleID,text,
GF,Dilution,bts:Dilution,text,
GF,DimensionOrder,bts:DimensionOrder,enum: XYCTZ | XYCZT | XYTZC | XYZCT | XYZTC | ZYX,
GF,DissociationMethod,bts:DissociationMethod,enum: Dounce | EnzymaticDigestion | GentleMACS | NotApplicable,
GF,DMCallingTool,bts:DMCallingTool,text,
GF,EmissionBandwidth,bts:EmissionBandwidth,text,
GF,EmissionWavelength,bts:EmissionWavelength,text,
GF,EndBias,bts:EndBias,enum: 3Prime | 5Prime | FullLengthTranscript,
GF,ERStatus,bts:ERStatus,enum: Equivocal | Negative | Positive | StronglyPositive | Unknown | WeaklyPositive,
GF,ExcitationBandwidth,bts:ExcitationBandwidth,text,
GF,ExcitationWavelength,bts:ExcitationWavelength,text,
GF,FileFormat,bts:FileFormat,enum: 7z | Ab1 | Abf | Am | Avi | Bai | Bam | Bcf | Bed | BedbroadPeak | BedgappedPeak | Bedgraph | BednarrowPeak | Bgzip | Bigwig | Bpm | Cel | Cellam | Chp | Cloupe | Csv | Czi | DICOM | Dat | Doc | Dup | Excel | Fasta | Fastq | Fig | Flagstat | Gct | Gff3 | Gtf | Gzip | HEIC | Hdf5 | Hic | Html | Hyperlink | Idat | Idx | Jpg | Json | Locs | M | Maf | Md | Mex | Mov | ... (+38 more),
GF,Filename,bts:Filename,text,
GF,Fluorophore,bts:Fluorophore,text,
GF,FOVnumber,bts:FOVnumber,text,
GF,FOVX,bts:FOVX,text,
GF,FOVXUnit,bts:FOVXUnit,enum: Cm | Mm | Nm | Å | Μm,
GF,FOVY,bts:FOVY,text,
GF,FOVYUnit,bts:FOVYUnit,enum: Cm | Mm | Nm | Å | Μm,
GF,FrameAveraging,bts:FrameAveraging,text,
GF,GenomeAnnotationURL,bts:GenomeAnnotationURL,text,
GF,GenomicReference,bts:GenomicReference,text,
GF,GenomicReferenceURL,bts:GenomicReferenceURL,text,
GF,HER2Status,bts:HER2Status,text,
GF,ImageID,bts:ImageID,text,
GF,ImagingAssayType,bts:ImagingAssayType,enum: CODEX | CyCIF | ExSeq | GeoMX-DSP | H&E | IHC | IMC | MERFISH | MIBI | MIHC | MxIF | NotApplicable | SABER | T-CyCIF,
GF,Immersion,bts:Immersion,enum: Air | Oil | Other | Water,
GF,InputCellsandNuclei,bts:InputCellsandNuclei,text,
GF,Lambdamethylationratio,bts:Lambdamethylationratio,text,
GF,LaneNumber,bts:LaneNumber,text,
GF,Laterality,bts:Laterality,enum: Bilateral | Left | NotApplicable | NotReported | Right | Unknown,
GF,LensNA,bts:LensNA,text,
GF,LibraryConstructionMethod,bts:LibraryConstructionMethod,enum: 10xV1.0 | 10xV1.1 | 10xV2 | 10xV3 | 10xV3.1 | CEL-seq2 | Drop-seq | InDropsV2 | InDropsV3 | Sci-ATAC-seq | Smart-SeqV4 | Smart-seq2 | TruDrop,
GF,LibraryLayout,bts:LibraryLayout,enum: LongRead | Mid-length | PairedEnd | SingleRead,
GF,LibraryPrepKitName,bts:LibraryPrepKitName,text,
GF,LibraryPrepKitVendor,bts:LibraryPrepKitVendor,text,
GF,LibraryPrepKitVersion,bts:LibraryPrepKitVersion,text,
GF,LibrarySelectionMethod,bts:LibrarySelectionMethod,enum: Affinityenrichment | Hybridselection | MiRNAsizefractionation | Othermethod | PCR | Poly-Tenrichment | RRNAdepletion | Random,
GF,LinkedMatrices,bts:LinkedMatrices,text,
GF,Lot,bts:Lot,text,
GF,MatrixType,bts:MatrixType,text,
GF,MedianUMIsperCellNumber,bts:MedianUMIsperCellNumber,text,
GF,MetalIsotopeElement,bts:MetalIsotopeElement,text,
GF,MetalIsotopeMass,bts:MetalIsotopeMass,text,
GF,Microscope,bts:Microscope,text,
GF,NominalMagnification,bts:NominalMagnification,text,
GF,NucleiBarcodeLength,bts:NucleiBarcodeLength,text,
GF,NucleiBarcodeRead,bts:NucleiBarcodeRead,text,
GF,NucleicAcidSource,bts:NucleicAcidSource,enum: BulkNuclei | BulkWholeCell | Micro-region | SingleCell | SingleNucleus,
GF,NucleusIdentifier,bts:NucleusIdentifier,text,
GF,Objective,bts:Objective,text,
GF,OligoBarcodeLowerStrand,bts:OligoBarcodeLowerStrand,text,
GF,OligoBarcodeUpperStrand,bts:OligoBarcodeUpperStrand,text,
GF,ParticipantID,bts:ParticipantID,text,
GF,PassedQC,bts:PassedQC,enum: No-ChannelsQC | Yes,
GF,PhysicalSizeX,bts:PhysicalSizeX,text,
GF,PhysicalSizeXUnit,bts:PhysicalSizeXUnit,enum: Cm | Mm | Nm | Å | Μm,
GF,PhysicalSizeY,bts:PhysicalSizeY,text,
GF,PhysicalSizeYUnit,bts:PhysicalSizeYUnit,enum: Cm | Mm | Nm | Å | Μm,
GF,PhysicalSizeZ,bts:PhysicalSizeZ,text,
GF,PhysicalSizeZUnit,bts:PhysicalSizeZUnit,enum: Cm | Mm | Nm | Å | Μm,
GF,PixelsBigEndian,bts:PixelsBigEndian,text,
GF,PixelType,bts:PixelType,enum: Bit | Double | Float | Int16 | Int32 | Int8 | Uint16 | Uint32 | Uint8,
GF,PlaneCount,bts:PlaneCount,text,
GF,ProportionofMinimumCpGCoverage10X,bts:ProportionofMinimumCpGCoverage10X,text,
GF,ProtocolLink,bts:ProtocolLink,text,
GF,PRStatus,bts:PRStatus,enum: Equivocal | Negative | Positive | StronglyPositive | Unknown | WeaklyPositive,
GF,PUC19methylationratio,bts:PUC19methylationratio,text,
GF,Pyramid,bts:Pyramid,text,
GF,ReadContent,bts:ReadContent,enum: CellBarcode | CellBarcodeandDNAInsert | DNAInsert | SampleIndex | SampleIndexandDNAInsert,
GF,ReadIndicator,bts:ReadIndicator,enum: I1 | NotApplicable | R1 | R1&R2 | R2 | R3,
GF,ReverseTranscriptionPrimer,bts:ReverseTranscriptionPrimer,enum: Featurebarcoding | Oligo-dT | Poly-dT | Random,
GF,RRIDidentifier,bts:RRIDidentifier,text,
GF,SampleID,bts:SampleID,text,
GF,SampleSite,bts:SampleSite,text,
GF,ScRNAseqWorkflowParametersDescription,bts:ScRNAseqWorkflowParametersDescription,text,
GF,ScRNAseqWorkflowType,bts:ScRNAseqWorkflowType,text,
GF,SequencingPlatform,bts:SequencingPlatform,enum: 454GSFLXTitanium | ABSOLiD3 | ABSOLiD4ABSOLiD2 | CompleteGenomics | GridION | IlluminaGenomeAnalyzerII | IlluminaGenomeAnalyzerIIx | IlluminaHiSeq2000 | IlluminaHiSeq2500 | IlluminaHiSeq4000 | IlluminaHiSeqXFive | IlluminaHiSeqXTen | IlluminaMiSeq | IlluminaNextSeq1000 | IlluminaNextSeq2000 | IlluminaNextSeq2500 | IlluminaNextSeq500 | IlluminaNextSeq550 | IlluminaNovaSeq6000 | IonTorrentPGM | IonTorrentProton | IonTorrentS5 | NotReported | NovaSeq6000 | NovaSeqS4 | Other | OxfordNanoporeminION | PacBioRS | PacBioSequel2 | PromethION | Revio | UltimaGenomicsUG100 | Unknown,
GF,SingleCellIsolationMethod,bts:SingleCellIsolationMethod,enum: 10x | Droplets | FACS | MicrofluidicsChip | NucleiIsolation | Plates,
GF,SingleNucleusBuffer,bts:SingleNucleusBuffer,enum: 10x | NIB | Omni,
GF,SizeC,bts:SizeC,text,
GF,SizeT,bts:SizeT,text,
GF,SizeX,bts:SizeX,text,
GF,SizeY,bts:SizeY,text,
GF,SizeZ,bts:SizeZ,text,
GF,SoftwareandVersion,bts:SoftwareandVersion,text,
GF,SpikeIn,bts:SpikeIn,enum: ERCC | NoSpikeIn | OtherSpikeIn | PhiX,
GF,SubCycleNumber,bts:SubCycleNumber,text,
GF,TargetDepth,bts:TargetDepth,text,
GF,TargetName,bts:TargetName,text,
GF,TechnicalReplicateGroup,bts:TechnicalReplicateGroup,text,
GF,TotalNumberofInputCells,bts:TotalNumberofInputCells,text,
GF,TranspositionReaction,bts:TranspositionReaction,enum: Diagenode-loadedApex-Bio | Diagenode-unloadedApex-Bio | EZ-Tn5 | In-House | NexteraTn5 | Tn5 | Tn5-059,
GF,Tseries,bts:Tseries,enum: No | Yes,
GF,UMIBarcodeLength,bts:UMIBarcodeLength,text,
GF,UMIBarcodeOffset,bts:UMIBarcodeOffset,text,
GF,UMITag,bts:UMITag,text,
GF,ValidBarcodesCellNumber,bts:ValidBarcodesCellNumber,text,
GF,Vendor,bts:Vendor,text,
GF,WhitelistCellBarcodeFileLink,bts:WhitelistCellBarcodeFileLink,text,
GF,WorkflowLink,bts:WorkflowLink,text,
