Project,Attribute,Attribute ID,Range,Validation Rules
HTAN,Ab Name Reported on Dataset,bts:AbNameReportedonDataset,text,
HTAN,Adapter Content,bts:AdapterContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
HTAN,Adapter Name,bts:AdapterName,text,
HTAN,Adapter Sequence,bts:AdapterSequence,text,
HTAN,Aligned Read Length,bts:AlignedReadLength,text,
HTAN,Alignment Workflow Type,bts:AlignmentWorkflowType,enum: B-SOLANA | BRAT-BW | BS-Seeker | BS-Seeker2 | BSMAP | BSmooth | BWA | BWA-aln | BWA-mem | BWA-meth | BWAwithBQSR | BWAwithMarkDuplicatesandBQSR | BatMeth | Bismark | Bisulfighter | Bowtie | ERNE-BS5 | GSNAP | LAST | MethylCoder | None | OtherAlignmentWorkflow | Pash | RMAP | SOCS-B | STAR2-Pass | STAR2-PassChimeric | STAR2-PassGenome | STAR2-PassTranscriptome | Segemehl,
HTAN,Alignment Workflow Url,bts:AlignmentWorkflowUrl,text,
HTAN,Analyte Type,bts:AnalyteType,enum: CDNALibrariesAnalyte | CfDNAAnalyte | DNAAnalyte | Lipid | Metabolite | PBMCs | PBMCsorPlasmaorSerumAnalyte | Plasma | Protein | RNAAnalyte | SerumAnalyte | TissueBlockAnalyte | TissueSectionAnalyte | TotalRNAAnalyte,
HTAN,Antibody Name,bts:AntibodyName,text,
HTAN,Antibody Notes,bts:AntibodyNotes,text,
HTAN,Antibody Role,bts:AntibodyRole,enum: Neither-Dye/Stain | Primary | Secondary,
HTAN,Applied Hard Trimming,bts:AppliedHardTrimming,enum: No | Yes-AppliedHardTrimming,
HTAN,Assay Type,bts:AssayType,text,
HTAN,Associated mRNA Library Data File ID,bts:AssociatedmRNALibraryDataFileID,text,
HTAN,Average Base Quality,bts:AverageBaseQuality,text,
HTAN,Average Insert Size,bts:AverageInsertSize,text,
HTAN,Average Read Length,bts:AverageReadLength,text,
HTAN,Barcode Folder File List,bts:BarcodeFolderFileList,text,
HTAN,Barcode Folder Synapse ID,bts:BarcodeFolderSynapseID,text,
HTAN,Base Caller Name,bts:BaseCallerName,text,
