Project,Attribute,Attribute ID,Range,Validation Rules
HTAN2,Ab Name Reported on Dataset,bts:AbNameReportedonDataset,text,
HTAN2,Adapter Content,bts:AdapterContent,enum: FAIL | NotReported | PASS | Unknown | WARN,
HTAN2,Adapter Name,bts:AdapterName,text,
HTAN2,Adapter Sequence,bts:AdapterSequence,text,
HTAN2,Aligned Read Length,bts:AlignedReadLength,text,
HTAN2,Alignment Workflow Type,bts:AlignmentWorkflowType,enum: B-SOLANA | BRAT-BW | BS-Seeker | BS-Seeker2 | BSMAP | BSmooth | BWA | BWA-aln | BWA-mem | BWA-meth | BWAwithBQSR | BWAwithMarkDuplicatesandBQSR | BatMeth | Bismark | Bisulfighter | Bowtie | ERNE-BS5 | GSNAP | LAST | MethylCoder | None | OtherAlignmentWorkflow | Pash | RMAP | SOCS-B | STAR2-Pass | STAR2-PassChimeric | STAR2-PassGenome | STAR2-PassTranscriptome | Segemehl,
HTAN2,Alignment Workflow Url,bts:AlignmentWorkflowUrl,text,
HTAN2,Analyte Type,bts:AnalyteType,enum: CDNALibrariesAnalyte | CfDNAAnalyte | DNAAnalyte | Lipid | Metabolite | PBMCs | PBMCsorPlasmaorSerumAnalyte | Plasma | Protein | RNAAnalyte | SerumAnalyte | TissueBlockAnalyte | TissueSectionAnalyte | TotalRNAAnalyte,
HTAN2,Antibody Name,bts:AntibodyName,text,
HTAN2,Antibody Notes,bts:AntibodyNotes,text,
HTAN2,Antibody Role,bts:AntibodyRole,enum: Neither-Dye/Stain | Primary | Secondary,
HTAN2,Applied Hard Trimming,bts:AppliedHardTrimming,enum: No | Yes-AppliedHardTrimming,
HTAN2,Assay Type,bts:AssayType,text,
HTAN2,Associated mRNA Library Data File ID,bts:AssociatedmRNALibraryDataFileID,text,
HTAN2,Average Base Quality,bts:AverageBaseQuality,text,
HTAN2,Average Insert Size,bts:AverageInsertSize,text,
HTAN2,Average Read Length,bts:AverageReadLength,text,
HTAN2,Barcode Folder File List,bts:BarcodeFolderFileList,text,
HTAN2,Barcode Folder Synapse ID,bts:BarcodeFolderSynapseID,text,
HTAN2,Base Caller Name,bts:BaseCallerName,text,
HTAN2,Base Caller Version,bts:BaseCallerVersion,text,
HTAN2,Basic Statistics,bts:BasicStatistics,enum: FAIL | NotReported | PASS | Unknown | WARN,
HTAN2,Batch Correction Method,bts:BatchCorrectionMethod,text,
HTAN2,Beadchip Array,bts:BeadchipArray,enum: HM27K | HM450K,
