Project,Attribute,Attribute ID,Range,Validation Rules
MC2,10xVisiumAuxiliaryFiles Key,bts:10xVisiumAuxiliaryFilesKey,text,validation=matchAtLeastOne 10xVisiumAuxiliaryFiles.10xVisiumAuxiliaryFiles_id Value
MC2,10xVisiumRNALevel2 Key,bts:10xVisiumRNALevel2Key,text,validation=matchAtLeastOne 10xVisiumRNALevel2.10xVisiumRNALevel2_id Value
MC2,10xVisiumRNALevel3 Key,bts:10xVisiumRNALevel3Key,text,validation=matchAtLeastOne 10xVisiumRNALevel3.10xVisiumRNALevel3_id Value
MC2,10xVisiumRNALevel3_id,bts:10xVisiumRNALevel3Id,text,validation=unique
MC2,10xVisiumRNALevel4_id,bts:10xVisiumRNALevel4Id,text,validation=unique
MC2,Biospecimen Key,bts:BiospecimenKey,text,validation=matchAtLeastOne Biospecimen.Biospecimen_id Value
MC2,Channel Antibody Catalog Number,bts:ChannelAntibodyCatalogNumber,text,
MC2,Channel Antibody Clone,bts:ChannelAntibodyClone,text,
MC2,Channel Antibody Lot,bts:ChannelAntibodyLot,text,
MC2,Channel Antibody Name,bts:ChannelAntibodyName,text,
MC2,Channel Antibody Role,bts:ChannelAntibodyRole,enum: Primary | Secondary,
MC2,Channel Antibody Vendor,bts:ChannelAntibodyVendor,text,
MC2,Channel Cycle Number,bts:ChannelCycleNumber,text,
MC2,Channel Emission Bandwidth,bts:ChannelEmissionBandwidth,text,
MC2,Channel Emission Wavelength,bts:ChannelEmissionWavelength,text,
MC2,Channel Excitation Bandwidth,bts:ChannelExcitationBandwidth,text,
MC2,Channel Excitation Wavelength,bts:ChannelExcitationWavelength,text,
MC2,Channel Fluorophore,bts:ChannelFluorophore,text,
MC2,Channel Identifier,bts:ChannelIdentifier,text,
MC2,Channel Metal Isotope,bts:ChannelMetalIsotope,text,
MC2,Channel Metal Symbol,bts:ChannelMetalSymbol,enum: Ac | Ag | Al | Am | Ar | As | At | Au | B | Ba | Be | Bh | Bi | Bk | Br | C | Ca | Cd | Ce | Cf | Cl | Cn | Co | Cr | Cs | Cu | Db | Ds | Dy | Er | Es | Eu | F | Fe | Fl | Fm | Fr | Ga | Gd | Ge | H | He | Hf | Hg | Ho | Hs | I | In | Ir | K | ... (+67 more),
MC2,Channel Name,bts:ChannelName,text,
MC2,Channel Oligo Barcode Lower Strand,bts:ChannelOligoBarcodeLowerStrand,text,
MC2,Channel Oligo Barcode Upper Strand,bts:ChannelOligoBarcodeUpperStrand,text,
MC2,Channel Passed QC,bts:ChannelPassedQC,enum: No-ChannelFailedQC | Yes,
MC2,Channel Probe Concentration,bts:ChannelProbeConcentration,text,
MC2,Channel Probe Dilution Ratio,bts:ChannelProbeDilutionRatio,text,
MC2,Channel Resource ID,bts:ChannelResourceID,text,
MC2,Channel Sub-cycle Number,bts:ChannelSub-cycleNumber,text,
MC2,Channel Target Name,bts:ChannelTargetName,text,
MC2,Component,bts:Component,text,
MC2,Data Use Codes,bts:DataUseCodes,enum: CC | COL | DS | DUM | GRU | GS | GSO | HMB | IRB | IS | MOR | NCU | NMDS | NPOA | NPU | NPUNCU | NRES | POA | PS | PUB | RS | RTN | TS | US,validation=list like
MC2,DatasetView Key,bts:DatasetViewKey,text,validation=matchAtLeastOne DatasetView.DatasetView_id Value
MC2,EducationalResource Key,bts:EducationalResourceKey,text,validation=matchAtLeastOne EducationalResource.EducationalResource_id Value
MC2,File Alias,bts:FileAlias,text,validation=unique
MC2,File Assay,bts:FileAssay,enum: 10-cellRNASequencing | 10xMultiome | 16SRibosomalGeneSequencingAssay | 3'RNA-seq | 3C | 3C-qPCR | 3DBioprinting | 3DCellCulture | 4C | 5C | ATAC-Seq | ATPBioluminescenceAssay | AffinityPurificationMassSpectrometry | AlcianBlueStainingMethod | Allograft | AmpliconSequencing | AngiogenesisAssay | AntitumorDrugScreeningAssay | ApoptosisAssay | ArtificialIntelligence | AtomicAbsorptionSpectrophotometry | AtomicAbsorptionSpectroscopy | AtomicForceMicroscopy | Autoradiography | Barcode-Seq | BicinchoninicAcidAssay | BindingAssay | Bio-LayerInterferometry | BioelectrochemicalAnalysis | BioluminescenceImaging | BisulfiteSequencing | BrightfieldMicroscopy | BrillouinMicroscopy | CASFISH | CDNAArray | CITE-seq | CLIP-qPCR | CRISPR | CUT&RUN | CUT&Tag-Sequencing | Cell-freeCirculatingTumorDNAAssay | Cell-spreadingAssay | CellAdhesionAssay | CellCulture | CellCycleAssay | CellFractionation | CellProliferationAssay | CellTiter-GloLuminescentCellViabilityAssay | CellViabilityAssay | CerenkovLuminescenceImaging | ... (+329 more),
MC2,File Description,bts:FileDescription,text,validation=str
MC2,File Design,bts:FileDesign,text,validation=str
MC2,File Format,bts:FileFormat,enum: AVI | BAI | BAM | BED | BIGWIG | BPM | Bed12 | Bedgraph | CDS | CHP | CLS | COOL | CSV | Cel | Cloupe | DAE | DB | DSStore | Docx | FASTA | FASTQ | FCS | FIG | FREQ | GCG | GCT | GCTx | GFF3 | GTF | GZIPFormat | H5 | H5AD | HDF | HDF5 | HTML | IDAT | JPG | JSON | LIF | MAP | MAT | MATLABscript | MGF | MSF | MTX | Maf | MzIdentML | MzXML | PDF | PKL | ... (+30 more),
MC2,File Level,bts:FileLevel,enum: Auxiliary | Level1 | Level2 | Level3 | Level4 | NotApplicable,
MC2,File Longitudinal Event Type,bts:FileLongitudinalEventType,text,validation=str
MC2,File Longitudinal Group,bts:FileLongitudinalGroup,text,validation=str
MC2,File Longitudinal Sequence Identifier,bts:FileLongitudinalSequenceIdentifier,text,validation=int
MC2,File Longitudinal Sequential Time Elapsed,bts:FileLongitudinalSequentialTimeElapsed,text,validation=num
MC2,File Longitudinal Time Elapsed Unit,bts:FileLongitudinalTimeElapsedUnit,text,validation=str
MC2,File Longitudinal Total Time Elapsed,bts:FileLongitudinalTotalTimeElapsed,text,validation=num
MC2,File Species,bts:FileSpecies,enum: AfricanBushElephant | Armadillo | AsianElephant | Boar | Cat | Chicken | Cow | Dog | Escherichiacoli | FruitFly | GuineaPig | Horse | Human | HumanCellLine | HumanPatient | Mouse | Multispecies | Opossum | Rabbit | Rat | Rhesusmonkey | Sheep | Trichoplaxadhaerens | Unknown | Unspecified | Worm | Yeast | Zebrafish,validation=list like
