Project,Attribute,Attribute ID,Range,Validation Rules
NF-OSI,age,bts:Age,text,validation=num
NF-OSI,ageUnit,bts:AgeUnit,enum: Days | Hours | Minutes | Months | Seconds | Weeks | Years,
NF-OSI,aliquotID,bts:AliquotID,text,
NF-OSI,antibodyID,bts:AntibodyID,text,
NF-OSI,assay,bts:Assay,enum: 2DAlamarBlueabsorbance | 2DAlamarBluefluorescence | 3Dconfocalimaging | 3Delectronmicroscopy | 3Dimaging | 3Dmicrotissueviability | ATAC-seq | ATPaseactivityassay | Actigraphy | Activeavoidancelearningbehaviorassay | AlgometRxNociometer | Array | Atomicforcemicroscopy | Auditorybrainstemresponse | Autoradiography | Bisulfitesequencing | Bloodchemistrymeasurement | BluenativePAGE | Bodysizetraitmeasurement | Bonehistomorphometry | BrdUproliferationassay | Brightfieldmicroscopy | CAMP-GloMaxAssay | CAPP-seq | CNF-Skindex | CODEX | CUT&RUN | Calciumretentioncapacityassay | Cellcompetition | Cellcount | Cellpainting | Cellpermeabilityassay | Cellproliferation | Cellviabilityassay | ChIP-seq | ChildBehaviorChecklistforAges1.5-5 | ChildBehaviorChecklistforAges6-18 | Children'sDermatologyLifeQualityIndexQuestionnaire | Clinicaldata | Cognitiveassessment | Combinationlibraryscreen | Combinationscreen | ComplexIIenzymeactivityassay | Compoundscreen | Confocalmicroscopy | Contextualconditioningbehaviorassay | ConventionalMRI | Corsiblocks | Currentclampassay | DNAopticalmapping | ... (+145 more),
NF-OSI,assayTarget,bts:AssayTarget,text,
NF-OSI,author,bts:Author,text,
NF-OSI,auxiliaryAsset,bts:AuxiliaryAsset,text,
NF-OSI,averageBaseQuality,bts:AverageBaseQuality,text,
NF-OSI,averageInsertSize,bts:AverageInsertSize,text,
NF-OSI,averageReadLength,bts:AverageReadLength,text,
NF-OSI,batchID,bts:BatchID,text,
NF-OSI,bisulfiteConversionKitID,bts:BisulfiteConversionKitID,text,
NF-OSI,bodySite,bts:BodySite,enum: Acetabulum | Axilla | Back | Dorsolateralprefrontalcortex | Finger | Forearm | Groin | Head | Iliacspine | Leg | Muscle | Neck | Occcipitallobe | Pelvis | Scalp | Scapula | Shoulder | Spine | Thoracicspine,
NF-OSI,cellID,bts:CellID,text,
NF-OSI,cellType,bts:CellType,enum: Arachnoid | Astrocytes | B-lymphocytes | CD138+ | CD8+T-Cells | CNON | CulturedMullerglia | DRG/nerverootneurospherecell | Embryonicstemcells | Epithelial | Epithelial-like | Fibroblast | GABAergicneurons | GLUtamatergicneurons | IPSC | IPSC-derivedastrocytes | IPSC-derivedglia | IPSC-derivedneuron | IPSC-derivedneuronalprogenitorcell | IPSC-derivedtelencephalicorganoids | Lymphoblast | Macrophages | Meningioma | Microglia | Monocyte-derivedmicroglia | Monocytes | NeuN+ | NeuN- | Oligodendrocyte | Round | SH-SY5Y | Schwann | Schwanncellprecursor | Schwannoma | Teratoma,validation=list like
NF-OSI,channel,bts:Channel,enum: Cy3 | Cy5 | NotApplicable,
NF-OSI,chipID,bts:ChipID,text,
NF-OSI,chipPosition,bts:ChipPosition,text,
NF-OSI,citation,bts:Citation,text,
NF-OSI,comments,bts:Comments,text,
NF-OSI,Component,bts:Component,text,
NF-OSI,compoundDose,bts:CompoundDose,text,
NF-OSI,compoundDoseUnit,bts:CompoundDoseUnit,text,
NF-OSI,compoundName,bts:CompoundName,text,
NF-OSI,concentrationMaterial,bts:ConcentrationMaterial,text,validation=num
NF-OSI,concentrationMaterialUnit,bts:ConcentrationMaterialUnit,enum: MM | Mg/mL | Particles/mL,
NF-OSI,concentrationNaCl,bts:ConcentrationNaCl,text,
NF-OSI,concentrationNaClUnit,bts:ConcentrationNaClUnit,enum: MM | Mg/mL | Particles/mL,
NF-OSI,dataCollectionMode,bts:DataCollectionMode,enum: DDA | DIA | Other,
NF-OSI,dataSubtype,bts:DataSubtype,enum: Derived | Normalized | Processed | Quantified | Raw | Synthetic,
NF-OSI,dataType,bts:DataType,enum: Aggregateddata | Alignedreads | Annotatedgermlinevariants | Annotatedsomaticmutation | Audiotranscript | Behavioraldata | Capsidsequence | Cellularphysiology | Characteristic | Chromatinactivity | Clinical | Copynumbervariants | Countmatrix | Dataindex | Datasharingplan | Demographics | Descriptivemetadata | Drugcombinationscreen | Drugscreen | Electrophysiology | Epidemiologicaldata | Geneexpression | Genomicfeatures | Genomicvariants | Germlinevariants | Image | Imagemetadata | Immunoassay | Isoformexpression | Kinomics | Maskimage | Massspectrometrydata | Metabolomics | Metadata | Molecularproperty | Morphologyparameter | Network | Normalizedintensities | Nucleicacidsequencerecord | Over-representationdata | Particlecharacterization | Pharmacokinetics | Physiologyparameter | Plot | Promotersequence | Proteininteractiondata | Proteininteractionrawdata | Proteomics | Rawcounts | Rawintensities | ... (+8 more),
NF-OSI,diagnosis,bts:Diagnosis,enum: 22q-relatedschwannomatosis | Atypicalneurofibroma | LZTR1-relatedschwannomatosis | NF2-relatedschwannomatosis | Neurofibromatosistype1 | NoonanSyndrome | NotApplicable | SMARCB1-relatedschwannomatosis | Schwannomatosis | Schwannomatosis-NEC | Schwannomatosis-NOS | SporadicSchwannoma | Unknown | VestibularSchwannoma,
NF-OSI,dissociationMethod,bts:DissociationMethod,enum: 10xV2 | Drop-seq | Enzymatic | FACS | FluidigmC1 | InDrop | Mechanical | Mouthpipette,
NF-OSI,documentation,bts:Documentation,text,
NF-OSI,experimentalCondition,bts:ExperimentalCondition,text,
NF-OSI,experimentalFactor,bts:ExperimentalFactor,enum: Bodyweight | Braingrowthmeasurement | Brainvolumemeasurement | Clinicallaboratorymeasurement | Cognitivefunctionmeasurement | Gaitmeasurement | Motordevelopmentmeasurement | Painmeasurement,
NF-OSI,experimentalTimepoint,bts:ExperimentalTimepoint,text,validation=num
NF-OSI,expressionUnit,bts:ExpressionUnit,enum: Counts | FPKM | NormalizedCounts | Other | RPKM | RawCounts | TPM,
NF-OSI,fileFormat,bts:FileFormat,enum: 7z | Ab1 | Abf | Aci | Ai | Avi | Bai | Bam | Bashscript | Bcf | Bed | BedbroadPeak | BedgappedPeak | Bedgraph | BednarrowPeak | Bgzip | Bigwig | Bmp | Bpm | Cel | Chp | Cnn | Cnr | Cns | Crai | Cram | Csi | Csv | Ctab | Czi | DICOM | Dat | Dna | Doc | Dockerimage | Dup | Edat3 | Excel | Fasta | Fastq | Fcs | Fig | Flagstat | Gb | Gct | Gff3 | Gtf | Gzip | Hdf5 | Hdr | ... (+67 more),
NF-OSI,Filename,bts:Filename,text,
NF-OSI,genePerturbationTechnology,bts:GenePerturbationTechnology,enum: CRERecombinase | CRISPR | CRISPRAssistedmRNAFragmentTrans-splicing(CRAFT) | RNAi,
NF-OSI,genePerturbationType,bts:GenePerturbationType,enum: CRERecombinase | CRISPR | RNAi,
NF-OSI,genePerturbed,bts:GenePerturbed,text,
NF-OSI,genomicReference,bts:GenomicReference,text,
NF-OSI,genomicReferenceLink,bts:GenomicReferenceLink,text,
NF-OSI,immersion,bts:Immersion,enum: Air | Oil | Other | Water,
NF-OSI,individualID,bts:IndividualID,text,validation=list like
NF-OSI,isCellLine,bts:IsCellLine,enum: No | Yes,
NF-OSI,isFilteredReads,bts:IsFilteredReads,text,
NF-OSI,lensAperture,bts:LensAperture,text,validation=num
NF-OSI,libraryKitID,bts:LibraryKitID,text,
NF-OSI,libraryPrep,bts:LibraryPrep,enum: LncRNAenrichment | MiRNAenrichment | PolyAselection | RRNAdepletion,
NF-OSI,libraryPreparationMethod,bts:LibraryPreparationMethod,enum: 10x | CEL-seq | Drop-Seq | GTAC@WUSTLin-houseprep | IDTxGenExomeResearchPanel | IlluminaRibo-ZeroPlus | IlluminaTn5Transposase | IlluminaTruSeqDNANano | KAPAHyperPrepKitPCR-free | KAPARNAHyperPrepKitwithRiboErase(HMR) | KAPAmRNAHyperPrepKit | NEBNextmRNALibraryPrepReagentSetforIllumina | Omni-ATAC | OxfordNanoporeDirectRNASequencingKit | QIAseqFXDNALibraryKit | QuantSeqFWDV2withUDI | Smart-seq2 | Smart-seq4 | TruSeq | TruSeqstandardtotalRNAlibrarykit | Unknown,
NF-OSI,libraryStrand,bts:LibraryStrand,enum: FirstStranded | NotApplicable | SecondStranded | Unstranded,
NF-OSI,License,bts:License,enum: CC-0 | CC-BY | CCBY-NC | CCBY-NC-ND | CCBY-NC-SA | CCBY-ND | CCBY-SA | ODC-BY | ODC-ODbL | ODC-PDDL | PublicDomain | UNKNOWN,
NF-OSI,materialType,bts:MaterialType,enum: DNA | Nanoparticles | Polymericnanoparticles | Smallmolecule,
NF-OSI,meanCoverage,bts:MeanCoverage,text,
